symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
FANG	DIAMONDBACK ENERGY INC	25278X109	B7Y8YR3	6.812296703070454e-4	-	2251165	USD
GRMN	GARMIN LTD	H2906T109	B3Z5T14	6.757327619459155e-4	-	1903672	USD
NDAQ	NASDAQ INC	631103108	2965107	6.743833403987789e-4	-	5192455	USD
HIG	HARTFORD INSURANCE GROUP INC	416515104	2476193	6.707220422304451e-4	-	3241846	USD
WEC	WEC ENERGY GROUP INC	92939U106	BYY8XK8	6.702060869330104e-4	-	3783869	USD
ROP	ROPER TECHNOLOGIES INC	776696106	2749602	6.672591884072783e-4	-	1232495	USD
DHI	DR HORTON INC	23331A109	2250687	6.539534950638209e-4	-	3114946	USD
VMC	VULCAN MATERIALS CO	929160109	2931205	6.387923470930509e-4	-	1533313	USD
ODFL	OLD DOMINION FREIGHT LINE	679580100	2656423	6.374131588941393e-4	-	2132133	USD
KDP	KEURIG DR PEPPER INC	49271V100	BD3W133	6.349425267968081e-4	-	15761777	USD
MLM	MARTIN MARIETTA MATERIALS	573284106	2572079	6.315193618426748e-4	-	701179	USD
STT	STATE STREET CORP	857477103	2842040	6.291281074834107e-4	-	3249090	USD
CCI	CROWN CASTLE INC	22822V101	BTGQCX1	6.286617632722678e-4	-	5053534	USD
MCHP	MICROCHIP TECHNOLOGY INC	595017104	2592174	6.224306108340194e-4	-	6296665	USD
ADM	ARCHER DANIELS MIDLAND CO	039483102	2047317	6.194341012219955e-4	-	5569830	USD
TTWO	TAKE TWO INTERACTIVE SOFTWRE	874054109	2122117	6.093630507047628e-4	-	2016645	USD
ACGL	ARCH CAPITAL GROUP LTD	G0450A105	2740542	6.067138186967813e-4	-	4131198	USD
SYY	SYSCO CORP	871829107	2868165	6.059696524024045e-4	-	5552626	USD
PRU	PRUDENTIAL FINANCIAL INC	744320102	2819118	6.010383104250008e-4	-	4021349	USD
AXON	AXON ENTERPRISE INC	05464C101	BDT5S35	5.934775808741325e-4	-	913384	USD
